pair,A,B,Choice
between_DJI_0593_and_DJI_0595,X,X,-1
between_DJI_0595_and_DJI_0600,X,X,-1
between_DJI_0600_and_DJI_0601,X,X,-1
between_DJI_0601_and_DJI_0602,X,X,-1
between_DJI_0602_and_DJI_0603,X,X,-1
between_DJI_0603_and_DJI_0604,X,X,-1
between_DJI_0604_and_DJI_0605,X,X,-1
between_DJI_0605_and_DJI_0606,X,X,-1
between_DJI_0606_and_DJI_0607,X,X,-1
between_DJI_0607_and_DJI_0608,X,X,-1
between_DJI_0608_and_DJI_0609,X,X,-1
between_DJI_0609_and_DJI_0610,X,X,-1
between_DJI_0610_and_DJI_0614,X,X,-1
between_DJI_0614_and_DJI_0615,X,X,-1
between_DJI_0615_and_DJI_0616,X,X,-1
between_DJI_0616_and_DJI_0617,X,X,-1
between_DJI_0617_and_DJI_0618,X,X,-1
between_DJI_0618_and_DJI_0619,X,X,-1
between_DJI_0619_and_DJI_0620,X,X,-1
between_DJI_0620_and_DJI_0621,X,X,-1
between_DJI_0621_and_DJI_0622,X,X,-1
between_DJI_0622_and_DJI_0623,X,X,-1
between_DJI_0623_and_DJI_0624,X,X,-1
between_DJI_0624_and_DJI_0625,X,X,-1
between_DJI_0625_and_DJI_0626,X,X,-1
between_DJI_0626_and_DJI_0627,X,X,-1
between_DJI_0627_and_DJI_0628,X,X,-1
between_DJI_0628_and_DJI_0629,X,X,-1
between_DJI_0629_and_DJI_0630,X,X,-1
between_DJI_0630_and_DJI_0632,X,X,-1
between_DJI_0632_and_DJI_0633,X,X,-1
between_DJI_0633_and_DJI_0634,X,X,-1
between_DJI_0634_and_DJI_0636,X,X,-1
between_DJI_0636_and_DJI_0639,X,X,-1
